,itemId,authorId,shareCount,playCount,commentCount,followingCount,followerCount,heartCount,videoCount,userId,uniqueId,nickName,verified,hashtags
0,6839079433794505989,6787000922671694853,344200,19400000,145900,263,198600,5900000,91,6787000922671694853,nautical80,HD-80,False,"['biden2020', 'trump2020', 'repost', 'parati', 'viral', 'foryoupage', 'trumpsong', 'fyp', 'trump']"
1,6878420920826858757,6607210820815519746,44600,12800000,31100,205,177000,5100000,154,6607210820815519746,name_brand_ag,AllieGrace,False,"['biden2020', 'acab', 'leftist', 'feminist', 'blm', 'rbg', 'genz', 'demsoc']"
2,6870563083157327110,6507754783003770882,56400,13600000,82600,26,223800,8000000,194,6507754783003770882,jayandsharon,Jay & Sharon,False,"['biden2020', 'youhaveto', 'trump2020', 'foryou', 'comedy', 'thatshot', 'fypシ', 'fyp', 'greenscreen', 'trump']"
3,6885800241275211014,6623394932903346181,135400,11100000,41800,1267,19000,3100000,51,6623394932903346181,definitelynaht,Definitely not,False,"['worldseries', 'biden2020', 'vote', 'funny', 'gaminglife', 'voteblue', 'bestphoto', 'cringe']"
4,6889924077721521413,6638646428809052166,154000,12300000,49900,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
5,6886132787015929093,6613880188491071494,112800,11800000,52100,615,45900,2900000,135,6613880188491071494,bearchewtoy75,Brian,False,['biden2020']
6,6852848692362251525,6747895457885914118,7480,7800000,0,895,214400,5100000,234,6747895457885914118,gemma.remmy,Gemz,False,"['biden2020', 'trump2020', 'foryou', 'us', 'politics', 'fyp', 'humanright']"
7,6840229199811185926,6821065523099927558,81400,8500000,59400,162,31000,2400000,115,6821065523099927558,comraderana,rana!!!,False,"['biden2020', 'greenscreen', 'xyzbca', 'trump2020', 'foryou', 'politics', 'fyp', 'inverted']"
8,6864768662201486597,6729952766842405894,27200,11000000,28500,188,429600,15200000,204,6729952766842405894,tuckercomedy,Tucker Reynolds,False,"['duetcomedy', 'biden2020', 'comedyduet', 'lgbt']"
9,6887655147833478405,6853622483762316293,51600,9600000,29900,787,89900,2900000,68,6853622483762316293,troytroythewonderboy,TroyTroyTheWonderBoy,False,"['trump2020', 'vote', 'biden2020', 'fyp']"
10,6886242941497576709,6608203598058962950,30600,6800000,14300,100,233500,5300000,66,6608203598058962950,aldavincii,Aldavinci,False,"['donaldtrump', 'biden2020', 'thatwitch', 'foryou', 'fyp', 'melaniatrump']"
11,6879890096225586438,6715819875799450630,121400,7200000,22200,87,176900,7000000,214,6715819875799450630,veronica_kole,Veronica Kole,False,"['donaldtrump', 'biden2020', 'brooklyn', 'foru', 'votehimout', 'foryoupage', 'voteblue', 'trump', 'fyp', 'newyork', 'nyc']"
12,6884739519002823942,6638646428809052166,13800,7100000,104300,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
13,6846749119474633989,6818623440666330117,29200,6100000,35200,725,531600,11900000,344,6818623440666330117,nikkinoo813,Nicole Williams,False,"['biden2020', 'foryou', 'trump2020', 'foryoupage', 'stupidcomments', 'fyp', 'voteblue', 'dumptrump']"
14,6881666938087525637,6671042256710057990,101900,8200000,20100,16,1900000,26600000,170,6671042256710057990,thedailyshow,The Daily Show,True,"['biden2020', 'trump2020', 'biden', 'dailyshow', 'comedy', 'funny', 'wtf', 'foryoupage', 'fyp', 'trump', '2020']"
15,6856107296297192710,6831850056933590022,54700,7100000,35800,47,80900,4200000,18,6831850056933590022,seanwth,Sean,False,"['support', 'biden2020', 'wewon', 'fastfood', 'viral', 'tiktok', 'fyp', 'chuckecheese', 'trump']"
16,6884859205665180933,6772290387983123462,15700,7800000,12200,10,9097,2600000,204,6772290387983123462,francisyoyo,Wassup👋,False,"['mask', 'biden2020', 'leftist', 'aoc', 'biden', 'stitch', 'wearamask', 'democrat']"
17,6852471745698467078,6714824007859897350,33500,5800000,35500,138,14500,2700000,126,6714824007859897350,ssmall1212,Ksmall,False,"['xyzbca', 'biden2020', 'foryou', 'viral', 'letsfaceit', 'gross', 'fypシ', 'fyp', 'greenscreen', 'dumptrump', 'idiot']"
18,6879990817331629318,6638646428809052166,37100,7000000,35100,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
19,6860315501512363270,6640222242955952134,19100,4100000,8115,631,18100,1500000,194,6640222242955952134,lissterine13,Alyssa,False,"['biden2020', 'trump2020', 'blm', 'democrat', 'settleforbiden']"
20,6885427214763052293,6638646428809052166,20800,6500000,40500,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
21,6861710381631458566,6642277004384010245,41700,6400000,209700,418,24600,2700000,743,6642277004384010245,uh.esti,Esti,False,"['donaldtrump', 'biden2020', 'foryou', 'vote', 'trump', 'hatetrump2020']"
22,6887319734094777605,6763957568730940422,2534,7000000,13900,180,131900,4200000,58,6763957568730940422,treyfoundjules,treyfoundjules,False,"['biden2020', 'bluewave', 'votehimout', 'voteblue', 'bidencoalition', 'showyourtruecolors']"
23,6881737686487436549,6881310731163714565,18000,4500000,5413,6,140400,3000000,47,6881310731163714565,samtalksaboutstuff,samandrews,False,"['biden2020', 'duet', 'trump2020', 'election2020', 'election', 'blm', 'politics', 'fyp', 'trump', 'americanelection']"
24,6885026460675869958,6774621385937339398,72300,5000000,35600,72,23400,1500000,22,6774621385937339398,chrod15,Cari 👽,False,"['2020', 'biden2020', 'ftrump', 'fyp']"
25,6886685278623288581,6851995489404634117,3177,4000000,6025,9,316900,1600000,48,6851995489404634117,memepac,MemePAC,False,"['biden2020', 'memes', 'aoc', 'amongus', 'memepac', 'dumptrump2020']"
26,6870590381558385925,1545172,6081,12800000,4350,2338,13200,1200000,48,1545172,juulstrtrkit,✨🖤,False,"['trumpsucks', 'biden2020', 'trumpet', 'trump2020', 'anyonebutdonaldtrump', 'thatshot', 'bernie2020', 'fyp']"
27,6887700198265556229,6688056182492414981,78300,3200000,25600,21,188000,4000000,589,6688056182492414981,ourdadnow,Your Proud Dad,False,"['biden2020', 'ourdadnow', 'vote', 'fyp', 'voteblue', 'prouddad', 'dumptrump', 'pride']"
28,6876841174863334662,6565170509783334918,19400,5800000,41800,261,3200000,93300000,727,6565170509783334918,trishlikefish88,trishapaytas ,True,"['lgbtq', 'vote', 'biden2020', 'blm']"
29,6886478397845818629,6758173643726996486,8445,4900000,22800,450,604100,15700000,187,6758173643726996486,kate_wojtkowski,Kate Wojtkowski,False,"['biden2020', 'election2020', 'trump2020', 'votered', 'biden', 'voteblue', 'debate2020', 'trump']"
30,6886885677296815365,6638646428809052166,13900,3600000,41400,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
31,6883637079125921029,6647887805828317190,7653,3800000,9633,79,23900,1200000,9,6647887805828317190,zahrafayzz,zahra,False,"['bidenharris2020', 'biden2020', 'fyp', 'trump']"
32,6872138621839871238,6757043649680294917,13600,4000000,10800,497,177200,5300000,204,6757043649680294917,hijabi.smiles,Hijabi Smiles,False,"['biden2020', 'muslimtiktok', 'trump2020', 'hijabi', 'modesty', 'feminist', 'trump', 'democrat', 'slutshaming']"
33,6880581943793126661,6638646428809052166,14500,4900000,38200,89,548600,20600000,128,6638646428809052166,meenaharris,Meena Harris,True,['biden2020']
34,6880533164175920390,6710726646619620357,37300,3600000,8940,175,166500,9600000,417,6710726646619620357,clairebeluga,Claire Beluga ,False,"['biden2020', 'trump2020', 'vote', 'liberal', 'politics']"
